DISTNAME,CAMPNAME,CNTYNAME,Longitude,Latitude,STREET,CITY,ZIP,CAMPUS,year,COUNT_ALL,COUNT_BLACK,COUNT_HIS,COUNT_WHITE,COUNT_AI,COUNT_API,COUNT_ASIAN,COUNT_PI,COUNT_TWO,COUNT_ECON,COUNT_ELL,PER_BLACK,PER_HIS,PER_WHITE,PER_AI,PER_API,PER_ASIAN,PER_PI,PER_TWO,PER_ECON,PER_ELL
BASTROP ISD,BASTROP H S,BASTROP,-95.258125,29.438503000000136,1450 HTS RD,ALVIN,77511,11901001,01-01-07,2271,218,788,1237,14,14,,,,989,96,9.6,34.7,54.5,0.6,0.6,,,,43.5,4.2
BASTROP ISD,GATEWAY SCH,BASTROP,-101.948941,32.527408,2911 COUNTY RD H,LAMESA,79331,11901033,01-01-07,54,17,23,14,0,0,,,,40,4,31.5,42.6,25.9,0,0,,,,74.1,7.4
BASTROP ISD,BASTROP MIDDLE,BASTROP,-98.651112999999896,29.229792,7650 S LOOP 1604 W,SOMERSET,78069,11901041,01-01-07,601,93,142,354,4,8,,,,291,15,15.5,23.6,58.9,0.7,1.3,,,,48.4,2.5
BASTROP ISD,EMILE ELEMENTARY,BASTROP,-98.573868,29.558065,11431 VANCE JACKSON RD,SAN ANTONIO,78230,11901101,01-01-07,501,85,102,305,5,4,,,,211,12,17,20.4,60.9,1,0.8,,,,42.1,2.4
BASTROP ISD,MINA ELEMENTARY,BASTROP,-95.718084,29.940142,19545 CYPRESS N HOUSTON,CYPRESS,77433,11901102,01-01-07,580,102,177,287,8,6,,,,336,69,17.6,30.5,49.5,1.4,1,,,,57.9,11.9
BASTROP ISD,CEDAR CREEK ELEMENTARY,BASTROP,-95.201101,29.930726,14600 WOODSON PARK DR,HOUSTON,77044,11901103,01-01-07,585,38,350,191,0,6,,,,378,179,6.5,59.8,32.6,0,1,,,,64.6,30.6
BASTROP ISD,BASTROP INTERMEDIATE,BASTROP,-101.580325,35.645076,538 EAGLE BLVD,FRITCH,79036,11901104,01-01-07,622,83,173,360,2,4,,,,305,21,13.3,27.8,57.9,0.3,0.6,,,,49,3.4
BASTROP ISD,CEDAR CREEK MIDDLE SCHOOL,BASTROP,-97.185926,33.106541,191 U S HWY 377,ARGYLE,76226,11901106,01-01-07,577,37,303,231,2,4,,,,326,57,6.4,52.5,40,0.3,0.7,,,,56.5,9.9
BASTROP ISD,RED ROCK ELEMENTARY,BASTROP,-97.191169,32.860944,9100 MID CITIES BLVD,NORTH RICHLAND HILLS,76180,11901107,01-01-07,532,11,263,254,2,2,,,,342,139,2.1,49.4,47.7,0.4,0.4,,,,64.3,26.1
BASTROP ISD,CEDAR CREEK INTERMEDIATE SCHOOL,BASTROP,-95.715095,29.852616,19636 PLANTATION MYRTLES DR,KATY,77449,11901108,01-01-07,603,34,320,242,1,6,,,,357,76,5.6,53.1,40.1,0.2,1,,,,59.2,12.6
